17784764286N iot/window {"phase":"BENCHMARK","idx":0,"average":0.000000,"adaptive_rate":106045.66,"sample_count":0,"compute_ms":94.2990,"timestamp_us":1778476427947682,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":0,"current_ma":92.50,"voltage_v":5.116,"power_mw":473.23,"energy_mj":31.3572}
17784764386N iot/window {"phase":"SIG0_WINDOW","idx":0,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.1960,"timestamp_us":1778476438142069,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":60.40,"voltage_v":5.120,"power_mw":309.25,"energy_mj":2952.6370}
17784764436N iot/window {"phase":"SIG0_WINDOW","idx":1,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.1990,"timestamp_us":1778476443038072,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":74.00,"voltage_v":5.124,"power_mw":379.18,"energy_mj":5079.9312}
17784764486N iot/window {"phase":"SIG0_WINDOW","idx":2,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2010,"timestamp_us":1778476447934075,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":59.80,"voltage_v":5.124,"power_mw":306.42,"energy_mj":6911.1631}
17784764536N iot/window {"phase":"SIG0_WINDOW","idx":3,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.1990,"timestamp_us":1778476452830072,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":69.70,"voltage_v":5.124,"power_mw":357.14,"energy_mj":8685.5918}
17784764576N iot/window {"phase":"SIG0_WINDOW","idx":4,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2050,"timestamp_us":1778476457726080,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":69.50,"voltage_v":5.124,"power_mw":356.12,"energy_mj":10518.7627}
17784764656N iot/window {"phase":"SIG1_WINDOW","idx":0,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0130,"timestamp_us":1778476465389898,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":68.30,"voltage_v":5.120,"power_mw":349.70,"energy_mj":2660.6155}
17784764706N iot/window {"phase":"SIG1_WINDOW","idx":1,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0130,"timestamp_us":1778476470253901,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":73.20,"voltage_v":5.124,"power_mw":375.08,"energy_mj":4409.0459}
17784764756N iot/window {"phase":"SIG1_WINDOW","idx":2,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0130,"timestamp_us":1778476475117898,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":59.20,"voltage_v":5.124,"power_mw":303.34,"energy_mj":6219.8428}
17784764806N iot/window {"phase":"SIG1_WINDOW","idx":3,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0130,"timestamp_us":1778476479981899,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":75.90,"voltage_v":5.124,"power_mw":388.91,"energy_mj":8215.0811}
17784764846N iot/window {"phase":"SIG1_WINDOW","idx":4,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0090,"timestamp_us":1778476484845884,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":70.90,"voltage_v":5.124,"power_mw":363.29,"energy_mj":9926.2900}
17784764926N iot/window {"phase":"SIG2_WINDOW","idx":0,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7560,"timestamp_us":1778476492606627,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":59.60,"voltage_v":5.124,"power_mw":305.39,"energy_mj":2682.5200}
