i,sample,gt,z_flagged,h_flagged
10,1.9509,0,0,0
11,1.7864,0,0,0
12,1.9466,0,0,0
13,1.8664,0,0,0
14,2.0418,0,0,0
15,1.8967,0,0,0
16,2.4010,0,0,0
17,3.1324,0,0,0
18,3.2483,0,0,0
19,3.0146,0,0,0
20,3.0944,0,0,0
21,2.9715,0,0,0
22,3.4940,0,0,0
23,3.9095,0,0,0
24,3.4738,0,0,0
25,3.5053,0,0,0
26,3.8362,0,0,0
27,3.8117,0,0,0
28,3.8592,0,0,0
29,4.4444,0,0,0
30,4.3978,0,0,0
31,4.5119,0,0,0
32,4.3417,0,0,0
33,4.3764,0,0,0
34,4.2316,0,0,0
35,4.6050,0,0,0
36,5.1084,0,0,0
37,4.8868,0,0,0
38,4.8090,0,0,0
39,5.1774,0,0,0
40,5.0506,0,0,0
41,5.4242,0,0,0
42,5.5404,0,0,0
43,5.3463,0,0,0
44,5.1778,0,0,0
45,5.7674,0,0,0
46,5.3124,0,0,0
47,5.2760,0,0,0
48,5.7175,0,0,0
49,5.4580,0,0,0
50,5.4588,0,0,0
51,5.4075,0,0,0
52,5.4723,0,0,0
53,14.0422,1,1,1
54,5.9197,0,0,0
55,5.6870,0,0,0
56,5.7451,0,0,0
57,5.7906,0,0,0
58,5.5626,0,0,0
59,5.4601,0,0,0
60,5.6442,0,0,0
61,5.1006,0,0,0
62,5.6896,0,0,0
63,5.5954,0,0,0
64,5.3564,0,0,0
65,5.2449,0,0,0
66,5.3275,0,0,0
67,5.3582,0,0,0
68,5.1283,0,0,0
69,5.2837,0,0,0
70,5.0304,0,0,0
71,4.7796,0,0,0
72,5.1609,0,0,0
73,4.4880,0,0,0
74,4.8320,0,0,0
75,4.6665,0,0,0
76,4.5117,0,0,0
77,4.7304,0,0,0
78,4.4878,0,0,0
79,4.6399,0,0,0
80,4.4852,0,0,0
81,4.3431,0,0,0
82,4.3260,0,0,0
83,3.5261,0,0,0
84,3.6685,0,0,0
85,3.6646,0,0,0
86,3.7496,0,0,0
87,3.8039,0,0,0
88,3.5024,0,0,0
