Testing at anomaly rate p=5%

=== Z-score Filter ===
W        TPR      FPR      MeanErr      Time(ms)     Mem(bytes)  
5        0.000    0.000    0.685256     0.0650       20          
11       0.655    0.000    0.362152     0.1060       44          
21       0.630    0.000    0.334979     0.1720       84          
51       0.635    0.000    0.304483     0.3720       204         
101      0.510    0.000    0.380394     0.6520       404         
201      0.465    0.000    0.425882     1.1780       804         

=== Hampel Filter ===
W        TPR      FPR      MeanErr      Time(ms)     Mem(bytes)  
5        1.000    0.030    0.150851     0.6070       20          
11       1.000    0.007    0.152797     1.2790       44          
21       1.000    0.001    0.154916     2.7980       84          
51       0.885    0.000    0.194614     7.6650       204         
101      0.755    0.000    0.265929     16.3050      404         
201      0.349    0.000    0.493926     31.8160      804         
